0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:05 -0300] "GET /ProjetoTrilhaWeb/js/brand.js HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:17 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:17 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:24 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:27 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:27 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:53 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=14 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:53 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:58 -0300] "PUT /ProjetoTrilhaWeb/rest/produto/alterar HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:48:58 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 125
