127.0.0.1 - - [24/Jun/2021:19:37:06 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:07 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:16 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:16 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:16 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:16 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:17 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:18 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:18 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:40 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:40 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 10088
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:41 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:41 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:41 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:41 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:49 -0300] "DELETE /ProjetoTrilhaWeb/rest/produto/excluir/8 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:49 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:55 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:56 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:57 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:37:57 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:04 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:05 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 10088
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:05 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "POST /ProjetoTrilhaWeb/rest/produto/inserir HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5815
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:33 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:43 -0300] "POST /ProjetoTrilhaWeb/rest/produto/inserir HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:48 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:48 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 10088
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:49 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:49 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:49 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:49 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=10 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5815
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:51 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:52 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:52 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:54 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:55 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=10 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:55 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:59 -0300] "PUT /ProjetoTrilhaWeb/rest/produto/alterar HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:59 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:59 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [24/Jun/2021:19:38:59 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
