127.0.0.1 - - [28/Jun/2021:20:19:54 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:03 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:03 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:11 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 10289
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:13 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:13 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:15 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:15 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:03 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:03 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:03 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:03 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:05 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:06 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 10289
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:06 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:47:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:35 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:35 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:35 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:35 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:35 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:35 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:36 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:39 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 10289
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:39 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:51:39 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:52:18 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:52:18 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:52:18 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3950
